PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,EMPPOP,EMPRESPONSE,EMPSAMPLE,EMPRESP_RATE,WORKSTUDY,STUDY,UNEMP,PREVWORKSTUD,BOTH,NOAVAIL,WORK
10000291.0,10000291.0,K00007,1.0,45.0,45.0,90.0,50.0,90.0,10.0,0.0,0.0,0.0,5.0,80.0
10000291.0,10000291.0,K00008,1.0,45.0,45.0,90.0,50.0,90.0,10.0,0.0,0.0,0.0,5.0,80.0
10000291.0,10000291.0,K00032,1.0,15.0,15.0,25.0,65.0,90.0,15.0,0.0,0.0,10.0,10.0,65.0
10000291.0,10000291.0,K00032,1.0,20.0,20.0,25.0,75.0,95.0,10.0,0.0,0.0,15.0,5.0,70.0
10000291.0,10000291.0,K00048,1.0,20.0,20.0,35.0,55.0,80.0,20.0,0.0,10.0,10.0,10.0,50.0
10000291.0,10000291.0,K00050,1.0,15.0,15.0,25.0,65.0,90.0,15.0,0.0,0.0,10.0,10.0,65.0
10000291.0,10000291.0,K00050,1.0,20.0,20.0,35.0,55.0,80.0,20.0,0.0,10.0,10.0,10.0,50.0
10000291.0,10000291.0,K00051,1.0,205.0,205.0,335.0,61.0,81.0,8.0,6.0,3.0,13.0,10.0,61.0
10000291.0,10000291.0,K00053,1.0,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
10000291.0,10000291.0,K00054,1.0,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
10000291.0,10000291.0,K00065,1.0,20.0,20.0,35.0,65.0,90.0,5.0,5.0,5.0,10.0,0.0,75.0
10000291.0,10000291.0,K00087,1.0,65.0,65.0,110.0,60.0,87.0,11.0,2.0,3.0,17.0,8.0,59.0
10000291.0,10000291.0,K00087,1.0,15.0,15.0,20.0,70.0,80.0,0.0,5.0,0.0,0.0,15.0,80.0
10000291.0,10000291.0,K00092,1.0,75.0,75.0,110.0,68.0,86.0,5.0,8.0,4.0,12.0,3.0,68.0
10000291.0,10000291.0,K00099,1.0,75.0,75.0,110.0,68.0,86.0,5.0,8.0,4.0,12.0,3.0,68.0
10000291.0,10000291.0,K00100,1.0,10.0,10.0,15.0,70.0,80.0,10.0,10.0,0.0,20.0,10.0,50.0
10000291.0,10000291.0,K00102,1.0,10.0,10.0,15.0,85.0,80.0,10.0,10.0,0.0,0.0,10.0,75.0
10000291.0,10000291.0,K00103,1.0,10.0,10.0,10.0,90.0,90.0,0.0,10.0,0.0,20.0,0.0,75.0
10000291.0,10000291.0,K00104,1.0,10.0,10.0,15.0,70.0,90.0,0.0,10.0,0.0,10.0,0.0,80.0
10000291.0,10000291.0,K00105,1.0,45.0,45.0,75.0,60.0,85.0,10.0,5.0,0.0,10.0,10.0,70.0
10000291.0,10000291.0,K00106,1.0,15.0,15.0,25.0,60.0,85.0,0.0,5.0,0.0,5.0,5.0,80.0
10000291.0,10000291.0,K00108,1.0,60.0,60.0,90.0,67.0,94.0,2.0,0.0,2.0,8.0,5.0,84.0
10000291.0,10000291.0,K00111,1.0,120.0,120.0,195.0,62.0,93.0,3.0,2.0,1.0,16.0,5.0,74.0
10000291.0,10000291.0,K00116,1.0,205.0,205.0,335.0,61.0,81.0,8.0,6.0,3.0,13.0,10.0,61.0
10000291.0,10000291.0,K00123,1.0,30.0,30.0,45.0,65.0,85.0,5.0,10.0,5.0,15.0,5.0,65.0
10000291.0,10000291.0,K00127,1.0,15.0,15.0,25.0,60.0,85.0,0.0,5.0,0.0,5.0,5.0,80.0
10000291.0,10000291.0,K00128,1.0,40.0,40.0,70.0,55.0,85.0,5.0,5.0,5.0,5.0,5.0,75.0
10000291.0,10000291.0,K00132,1.0,40.0,40.0,70.0,55.0,85.0,5.0,5.0,5.0,5.0,5.0,75.0
10000291.0,10000291.0,K00133,1.0,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
10000291.0,10000291.0,K00136,1.0,170.0,170.0,320.0,54.0,92.0,16.0,1.0,4.0,9.0,4.0,67.0
10000291.0,10000291.0,K00144,1.0,15.0,15.0,25.0,60.0,85.0,0.0,5.0,0.0,5.0,5.0,80.0
10000291.0,10000291.0,K00145,1.0,15.0,15.0,25.0,60.0,85.0,0.0,5.0,0.0,5.0,5.0,80.0
10000291.0,10000291.0,K00146,1.0,10.0,10.0,10.0,90.0,90.0,0.0,10.0,0.0,20.0,0.0,75.0
10000291.0,10000291.0,K00150,2.0,45.0,45.0,70.0,65.0,95.0,5.0,0.0,0.0,15.0,5.0,75.0
10000291.0,10000291.0,K00162,1.0,15.0,15.0,25.0,60.0,85.0,0.0,5.0,0.0,5.0,5.0,80.0
10000291.0,10000291.0,K00163,1.0,30.0,30.0,50.0,60.0,80.0,10.0,0.0,20.0,5.0,0.0,65.0
10000291.0,10000291.0,K00167,1.0,35.0,35.0,60.0,65.0,90.0,10.0,10.0,5.0,5.0,0.0,75.0
10000291.0,10000291.0,K00193,1.0,25.0,25.0,50.0,55.0,100.0,15.0,0.0,0.0,40.0,0.0,45.0
10000291.0,10000291.0,K00194,1.0,25.0,25.0,50.0,55.0,100.0,15.0,0.0,0.0,40.0,0.0,45.0
10000291.0,10000291.0,K00202,1.0,40.0,40.0,70.0,55.0,85.0,5.0,5.0,5.0,5.0,5.0,75.0
10000291.0,10000291.0,K00210,2.0,75.0,75.0,135.0,56.0,97.0,0.0,0.0,3.0,5.0,0.0,92.0
10000291.0,10000291.0,K00211,1.0,10.0,10.0,10.0,90.0,90.0,0.0,10.0,0.0,20.0,0.0,75.0
10000291.0,10000291.0,K00212,1.0,45.0,45.0,75.0,60.0,90.0,30.0,5.0,0.0,15.0,5.0,40.0
10000291.0,10000291.0,K00215,1.0,10.0,10.0,15.0,65.0,100.0,20.0,0.0,0.0,30.0,0.0,50.0
10000291.0,10000291.0,K00217,1.0,15.0,15.0,30.0,55.0,80.0,5.0,0.0,5.0,10.0,10.0,65.0
10000291.0,10000291.0,K00218,1.0,15.0,15.0,30.0,55.0,80.0,5.0,0.0,5.0,10.0,10.0,65.0
10000291.0,10000291.0,K00219,1.0,10.0,10.0,15.0,85.0,80.0,10.0,10.0,0.0,0.0,10.0,75.0
